city,lat,temp,humidity,cloudiness,windspeed
Rikitea,-23.12,295.148,71,100,10.39
Seoul,37.57,292.52,106,90,1.0
Neiafu,-18.65,298.15,94,40,6.52
Hermanus,-34.42,284.82,77,100,4.53
Longyearbyen,78.22,280.15,74,75,2.1
Port Alfred,-33.59,289.82,92,34,0.89
Ponta do Sol,-20.63,292.148,68,85,0.84
Albany,42.65,294.22,88,90,3.1
Guerrero Negro,27.97,290.248,82,13,5.39
Punta Arenas,-53.16,280.04,81,75,5.1
Frantiskovy Lazne,50.12,293.41,56,0,3.1
Jamestown,-33.21,277.648,87,0,1.56
Qaanaaq,77.48,274.948,93,100,1.83
Butaritari,3.07,301.848,78,75,6.2
Busselton,-33.64,277.01,71,100,3.57
Cap-aux-Meules,47.38,288.15,72,20,7.2
Bluff,-23.58,283.348,69,0,2.62
Mar del Plata,-46.43,281.148,50,99,7.11
Lagoa,37.14,292.18,93,40,3.6
Edd,13.93,303.548,53,0,3.46
Rocha,-34.48,285.748,89,100,4.89
Balabac,7.99,300.348,83,93,2.67
Kapaa,22.08,300.78,74,75,8.7
Grindavik,63.84,282.07,61,40,12.3
Bonavista,48.65,282.59,86,100,5.81
Yeppoon,-23.13,280.15,87,0,1.34
Hobart,-42.88,279.39,96,75,7.7
Mariental,52.28,297.13,53,0,1.5
Nikolskoye,59.7,289.22,63,0,3.0
Hilo,19.71,298.03,78,90,6.7
Bredasdorp,-34.53,285.4,58,100,1.0
Ushuaia,-54.81,278.52,87,90,5.1
Klaksvik,62.23,283.15,81,41,3.6
Taoudenni,22.68,310.748,7,0,4.11
Bethel,60.79,287.16,87,75,2.1
Avarua,-21.21,298.15,88,0,4.1
Chokurdakh,70.62,282.648,69,33,4.73
Auki,12.18,300.448,57,34,2.91
East London,-33.02,287.148,81,1,3.78
Rio Cuarto,-33.13,289.15,25,0,4.6
Hithadhoo,-0.6,302.048,68,100,2.87
Dhamrai,23.92,303.15,79,40,1.5
Puerto Ayora,-0.74,302.15,58,40,3.6
Palaikastron,35.2,297.348,79,16,7.12
Kavieng,-2.57,301.548,74,100,5.7
Pritzwalk,53.15,298.02,54,100,0.89
Khatanga,71.98,282.548,76,100,8.52
Garissa,-0.46,297.948,66,0,7.96
Requena,39.49,295.59,69,0,4.1
Arona,45.76,298.54,47,0,2.6
Vaini,15.34,298.548,88,57,1.46
Zhangjiakou,40.77,288.448,65,100,1.83
Saint-Philippe,45.36,298.73,32,1,2.1
Bucarasica,8.04,306.15,41,40,5.1
Yar-Sale,66.83,276.648,58,44,3.53
Atar,20.52,311.148,11,0,5.73
Xai-Xai,-25.04,289.848,92,0,1.69
Farafangana,-22.82,291.248,84,67,0.93
Lebu,8.96,287.048,91,40,0.73
Georgetown,6.8,302.15,74,75,2.1
Arraial do Cabo,-22.97,297.12,65,20,4.6
Pisco,-13.71,292.94,30,90,3.6
Kavaratti,10.57,302.448,75,100,9.5
Airai,-8.93,292.848,65,100,2.26
North Bend,43.41,292.5,68,1,11.3
Westport,53.8,287.08,67,40,5.1
Shiraoi,42.56,284.82,93,40,1.0
Laguna,27.52,309.15,23,40,2.6
Meiktila,20.88,298.748,81,99,6.87
Atuona,-9.8,300.548,77,33,9.23
Bayir,37.27,297.08,78,40,2.6
Jalu,29.03,309.348,15,47,11.14
Souillac,45.6,298.85,48,0,1.5
Victoria,5.28,299.7,88,75,2.67
Namatanai,-3.66,298.848,88,100,6.71
Mahebourg,-20.41,295.27,60,40,4.1
Kizukuri,40.81,285.11,90,100,0.89
Hofn,64.25,272.848,85,100,7.72
Cape Town,-33.93,288.8,58,0,4.6
Torbay,47.66,285.75,71,75,7.2
Finnsnes,69.23,282.51,87,75,4.6
Komsomolskiy,67.55,272.648,97,100,5.39
Upernavik,72.79,276.148,84,93,1.01
Yablonovo,50.85,295.15,73,0,2.0
Mataura,-46.19,275.048,82,99,2.58
Lincoln,53.23,288.23,93,90,2.1
Yellowknife,62.45,292.1,63,75,8.2
Yibin,28.77,294.348,95,100,0.82
Portree,57.41,283.71,91,100,6.26
Vila Franca do Campo,37.72,292.15,72,40,2.6
Barabinsk,55.35,281.048,92,28,5.02
Touros,-5.2,301.15,78,40,5.1
Barrow,-38.31,283.348,88,99,3.45
Carnarvon,-30.97,285.448,35,100,3.32
Severo-Kurilsk,50.68,279.648,84,100,4.83
Pitimbu,-7.47,297.15,100,75,1.5
Beloha,-25.17,289.648,76,0,1.85
Saint George,39.45,296.69,69,75,1.88
Bethanien,-26.5,286.348,36,98,3.31
Sinnamary,5.38,300.948,78,100,5.17
Tsumeb,-19.25,286.348,38,0,3.79
Cayenne,4.94,302.15,79,18,5.1
Srednekolymsk,67.46,293.248,44,95,2.94
Betare Oya,5.6,294.048,89,31,1.02
Dikson,73.51,275.748,90,100,6.39
Loncoche,-39.37,285.65,93,75,1.5
Lerwick,60.15,284.15,87,0,5.7
Tuktoyaktuk,69.44,280.15,70,40,3.1
Vyazemskiy,47.53,286.748,89,32,3.95
Siirt,37.93,296.448,34,0,1.29
Sao Filipe,14.9,296.748,83,0,13.48
Kodiak,39.95,299.45,57,1,3.1
Muros,42.77,290.14,87,75,6.2
Goderich,43.74,291.56,68,4,3.13
Esperance,10.24,298.84,88,20,5.1
Madridejos,39.47,300.15,15,0,4.6
Vao,59.1,285.948,81,40,3.84
Touba,14.86,302.748,40,64,4.54
Manggar,-2.88,297.848,95,100,1.88
Saint Anthony,43.97,296.31,36,1,5.1
Simoes,-7.6,295.648,87,71,0.66
Winnemucca,40.97,300.02,20,1,3.1
Comodoro Rivadavia,-45.87,286.15,54,0,5.7
Komsomolets,52.77,289.848,92,0,2.44
Norman Wells,65.28,290.15,59,75,3.6
Manicore,-5.81,306.15,55,20,1.5
Saldanha,41.42,288.648,82,43,2.51
Masallatah,32.62,297.748,60,0,3.47
Rochelle,41.92,298.65,64,40,0.72
Ribeira Grande,38.52,292.15,77,40,3.6
Saskylakh,71.97,290.948,56,51,7.9
Kruisfontein,-34.0,290.248,36,68,4.5
Vanavara,60.35,282.048,77,0,1.02
Goreloye,52.92,289.648,95,0,2.06
Fethiye,36.62,296.01,88,40,2.6
Mount Gambier,-37.83,276.15,93,40,1.5
Napasar,27.97,304.348,53,16,2.77
Tunceli,39.11,290.63,55,40,3.1
Okhotsk,59.36,284.448,89,100,2.39
Port Blair,11.67,301.748,79,100,11.35
New Norfolk,-42.78,279.38,96,40,5.1
Kaitangata,-46.28,276.848,78,100,1.73
Komatipoort,-25.43,285.24,47,0,0.5
Simbahan,6.3,302.048,69,100,1.09
Portland,45.52,293.73,49,75,3.1
Los Llanos de Aridane,28.66,293.39,78,75,0.5
Golden,51.3,296.15,35,75,2.5
Kidal,18.44,309.648,15,23,4.9
Barbacoas,1.67,300.848,83,54,2.86
Opuwo,-18.06,288.548,38,0,3.42
Jeremoabo,-10.08,294.248,88,4,4.94
Issoire,45.54,297.21,32,0,5.1
Peniche,39.36,292.07,93,75,6.2
Barnstaple,51.08,287.99,100,20,1.0
Castro,-42.48,282.15,100,75,3.1
Provideniya,64.42,286.15,66,0,5.0
Pecanha,-18.55,290.648,91,37,1.91
Beaverlodge,55.21,290.15,39,75,10.3
Magdagachi,53.45,283.648,51,81,3.69
Hambantota,6.12,301.548,80,100,10.22
Lompoc,34.64,292.82,64,1,5.1
Cherskiy,68.75,288.648,43,56,4.89
Nuuk,64.17,284.99,58,75,7.2
Aksarka,66.56,275.448,90,64,5.97
College,64.86,292.42,52,75,0.92
Adrar,27.87,313.15,6,0,3.6
Nanortalik,60.14,275.148,87,99,1.84
Skjervoy,70.03,281.15,81,75,2.6
Merauke,-8.49,298.248,82,77,8.79
